# chunk 1 of 3463
aahed,8.975447723171962e-9
aahing,6.779791650425081e-9
aalii,3.0607460692933627e-10
aaliis,0
aardvark,2.1918854964100162e-8
aardvarks,8.434096127337815e-9
aardwolf,5.528400915644886e-9
aardwolves,1.139164421972949e-9
aargh,1.0051269053642883e-9
aaron,5.595134425673955e-9
aaronic,1.6550891383970275e-10
aarrgh,0
aarrghh,0
aasvogel,7.91712827100634e-10
aasvogels,7.794396337472965e-10
abaca,4.982909918871664e-8
abacas,3.308798183643337e-10
abacate,3.922420508604649e-10
abacaxi,7.025870698862298e-10
abacay,0
abaci,2.2117880238014532e-8
abacinate,0
abacination,0
abacisci,0
abaciscus,1.6005323932618319e-10
abacist,6.093201940903549e-10
aback,6.094576879991891e-7
abacli,0
abacot,3.7586146570806887e-10
abacterial,4.725901197998224e-9
abactinal,2.884753009268516e-8
abactinally,3.72067522197111e-9
abaction,2.7791187859924674e-10
abactor,3.4637618901939117e-10
abaculi,0
abaculus,2.5645091892394146e-10
abacus,1.811439294595019e-7
abacuses,5.25144013434259e-9
abada,1.1057645613787723e-9
abaddon,3.9739252461576513e-10
abadejo,3.8085618658996964e-10
abadengo,4.433990995261859e-10
abadia,4.65544967694175e-10
abaff,0
abaft,9.445024971222315e-8
abaisance,0
abaised,0
abaiser,0
abaisse,2.4340970745741658e-9
abaissed,0
abaka,8.550879117788946e-10
abakas,0
abalation,2.929405264385046e-10
abalienate,3.9628431482113014e-10
abalienated,2.0348517073553345e-10
abalienating,0
abalienation,3.185817494230241e-10
abalone,1.2030816658509366e-7
abalones,1.2921322165716066e-8
abamp,9.929324619957447e-10
abampere,4.1891248519281386e-9
abamperes,3.793331308237277e-9
abamps,0
aband,1.919033128894457e-9
abandon,6.04473180110699e-6
abandonable,4.839017068094975e-10
abandoned,0.000012682849776943533
abandonedly,1.5156291899653268e-9
abandonee,2.919956054909387e-9
abandoner,1.878753387099954e-9
abandoners,1.1274100880454518e-9
abandoning,1.8080906410499935e-6
abandonment,2.8750333767409797e-6
abandonments,2.6513429513284167e-8
abandons,5.54908291369798e-7
abandum,0
abanet,5.52280905921294e-10
abanga,1.7136030514913134e-10
abannition,0
abapical,8.572115783207357e-10
abaptiston,0
abaptistum,0
abarthrosis,0
abarticular,6.670066414518223e-10
abarticulation,0
abase,6.372863519295018e-8
abased,8.150961995118449e-8
abasedly,0
abasedness,9.958057965632548e-10
abasement,2.0792051478750793e-7
abasements,3.0980492921475474e-9
abaser,2.961373747387362e-10
abasers,0
abases,1.3275493817924782e-8
abash,1.5343739789427032e-8
abashed,2.6801209516610163e-7
abashedly,2.8216660789739872e-9
abashedness,4.1021017824393666e-10
abashes,1.6426124789432315e-9
abashing,1.7140197017854575e-9
# chunk 2 of 3463
abashless,5.344630732189029e-10
abashlessly,0
abashment,4.779825453140854e-9
abashments,1.8914303600047723e-10
abasia,7.379732552971612e-9
abasias,2.74343227304449e-10
abasic,6.706617940163033e-9
abasing,2.8384821789331228e-8
abasio,0
abask,1.5525253124157055e-10
abassi,7.343251148774657e-10
abastard,1.1892518500591918e-10
abastardize,0
abastral,0
abatable,2.005906650297777e-9
abatage,5.970385384591673e-10
abate,5.94634776378832e-7
abated,7.727989002435496e-7
abatement,8.552108851290899e-7
abatements,6.106364145614742e-8
abater,2.072776790082997e-9
abaters,8.728952378451388e-10
abates,8.56040435539913e-8
abatic,3.7055248526337486e-10
abating,1.6692564001293415e-7
abatis,4.2491434718056973e-8
abatised,3.4309390800885663e-10
abatises,3.7090540710158016e-10
abatjour,1.9518022440161683e-10
abatjours,0
abaton,2.5655807582577283e-9
abator,1.8300872198748962e-9
abators,3.624897519613567e-10
abattage,2.9055938122366016e-9
abattis,2.5134896195738554e-8
abattised,4.0056905143515206e-10
abattises,0
abattoir,7.925801691834219e-8
abattoirs,5.249658173104927e-8
abattu,4.62488925786162e-9
abattue,1.5776809768165295e-9
abature,0
abaue,0
abave,1.5669699813877848e-9
abaxial,3.9504651945966276e-8
abaxile,0
abayah,2.2047879079338594e-9
abaze,0
abbacies,1.338852222156835e-8
abbacomes,0
abbacy,3.64320855211421e-8
abbandono,4.278014360890756e-9
abbas,3.034273809220319e-8
abbasi,8.687795990307852e-10
abbasid,2.79061819211535e-10
abbassi,3.59072677996638e-10
abbate,1.10824515548787e-8
abbatial,1.866419763575606e-8
abbatical,8.341414023920722e-10
abbatie,1.1133422262519878e-9
abbaye,2.2495626249519182e-8
abbes,1.601679424390343e-8
abbess,2.4702787721224987e-7
abbesses,3.386825006490865e-8
abbest,0
abbevillian,0
abbey,1.3117566893335315e-6
abbeys,2.543301827416434e-7
abbeystead,0
abbeystede,0
abboccato,7.480390642629403e-10
abbogada,0
abbot,1.3761079212918186e-6
abbotcies,0
abbotcy,2.968081076148358e-10
abbotnullius,0
abbotric,0
abbots,3.75500640241696e-7
abbotship,2.3366977387791255e-9
abbotships,3.5355667951111213e-10
abbott,6.084536855256041e-9
abbozzo,1.9717870411661922e-9
abbrev,1.7010438838104772e-8
abbreviatable,0
abbreviate,1.1925179868621593e-7
abbreviated,1.3060636267445545e-6
abbreviately,2.7181790858484544e-10
abbreviates,2.390691129945407e-8
abbreviating,3.60151284806033e-8
abbreviation,8.684868507355051e-7
abbreviations,9.259952518478426e-7
abbreviator,3.94306841573034e-9
abbreviators,3.147554355818333e-9
abbreviatory,5.2425342292861515e-9
abbreviature,1.1936498659384786e-9
abbroachment,0
abcess,1.1415917133165798e-8
abcissa,7.529576677156639e-9
abcoulomb,2.0283351609618646e-9
abdal,1.8412428415684448e-9
# chunk 3 of 3463
abdali,0
abdaria,0
abdat,1.64726720062275e-10
abdest,6.484732837366548e-10
abdicable,0
abdicant,2.4663098167189784e-10
abdicate,3.2370262801293363e-7
abdicated,3.375575316680383e-7
abdicates,5.238725715555114e-8
abdicating,7.562119469323939e-8
abdication,5.818855000898851e-7
abdications,6.95507880615e-9
abdicative,1.2094435628334737e-9
abdicator,6.626687934252246e-10
abditive,0
abditory,0
abdom,4.11241735387228e-9
abdomen,3.8098331081320873e-6
abdomens,5.301790394857169e-8
abdomina,1.4980078291046789e-9
abdominal,5.369657428857084e-6
abdominales,2.7713079294010816e-9
abdominalia,6.750702764672914e-10
abdominalian,0
abdominally,1.3580071064538292e-8
abdominals,5.243702045225164e-8
abdominoanterior,0
abdominocardiac,0
abdominocentesis,2.100363550667921e-9
abdominocystic,0
abdominogenital,0
abdominohysterectomy,0
abdominohysterotomy,0
abdominoposterior,0
abdominoscope,0
abdominoscopy,2.456244376973456e-10
abdominothoracic,2.4003999496302057e-9
abdominous,1.0567835138640976e-9
abdominovaginal,9.119375843509977e-10
abdominovesical,0
abduce,1.3677466012578562e-9
abduced,1.9730038648667448e-9
abducens,7.679150829307525e-8
abducent,1.677007979504397e-8
abducentes,8.216462495440699e-10
abduces,2.8442942809853083e-10
abducing,5.285993502346444e-10
abduct,1.0588179388307302e-7
abducted,4.3532591076318204e-7
abducting,6.161106744839268e-8
abduction,8.643567688512303e-7
abductions,7.312056062201624e-8
abductor,1.899318890933961e-7
abductores,4.318139563028012e-10
abductors,7.384923361858866e-8
abducts,3.2986356719682446e-8
abeam,6.207895508531385e-8
abear,4.336650758892575e-9
abearance,8.787241218080204e-10
abecedaire,4.292259491913749e-10
abecedaria,1.0353070123218206e-9
abecedarian,2.584669709735097e-9
abecedarians,7.096624709228869e-10
abecedaries,9.594327710410113e-10
abecedarium,1.6162935219888166e-9
abecedarius,5.765150117083926e-10
abecedary,2.686905963528509e-9
abede,2.2942652856310563e-9
abedge,0
abegge,0
abeigh,3.918028889691635e-10
abele,2.2160534792312024e-9
abeles,9.387261748287682e-10
abelian,5.4634769833331165e-8
abelite,0
abelmosk,2.6550964702213303e-10
abelmosks,0
abelmusk,0
abeltree,0
abend,1.5776413682048308e-8
abends,9.392453697450118e-9
abenteric,0
abepithymia,0
aberdavine,4.94609010900726e-10
aberdeen,1.4373014737037878e-9
aberdevine,3.6493471476243333e-10
aberduvine,0
abernethy,6.310263295746155e-10
aberr,7.650412925786031e-10
aberrance,6.008114627217515e-9
aberrancies,3.216758197993171e-9
aberrancy,1.0242490222618793e-8
aberrant,5.386182532830327e-7
